mm,N,Def 1,Cont
"0,03156262237","11,8299942","0,1","0,4"
"0,03976262205","19,42013931","0,1","0,7"
"0,04846262281","26,51698112","0,1","0,9"
"0,05666261977","34,61435699","0,1","1,2"
"0,06496262476","41,19364929","0,2","1,4"
"0,07316262172","49,0980835","0,2","1,7"
"0,08166262459","54,73218155","0,2","1,9"
"0,09016262383","60,85955048","0,2","2,1"
"0,09826262003","67,23408508","0,3","2,3"
"0,1066626185","75,60152435","0,3","2,6"
"0,1148626155","81,36067963","0,3","2,8"
"0,1234626227","88,09129333","0,3","3,0"
"0,1317626205","93,94745636","0,3","3,2"
"0,1400626182","100,6531143","0,4","3,4"
"0,1483626304","106,2338028","0,4","3,6"
"0,1565626201","114,2266617","0,4","3,9"
"0,1651626274","119,1142426","0,4","4,1"
"0,1734626178","124,4267426","0,4","4,2"
"0,1817626228","132,8929749","0,5","4,5"
"0,1900626133","139,1478577","0,5","4,8"
"0,198462619","143,7617493","0,5","4,9"
"0,2069626255","151,3249207","0,5","5,2"
"0,215062629","156,84935","0,6","5,4"
"0,2234626202","161,8100128","0,6","5,5"
"0,2316626244","168,2251892","0,6","5,7"
"0,2402626172","172,8717957","0,6","5,9"
"0,2485626222","179,1113739","0,6","6,1"
"0,2568626126","184,3791809","0,7","6,3"
"0,2651626176","189,8577576","0,7","6,5"
"0,2733626073","195,8852539","0,7","6,7"
"0,2819626145","201,580719","0,7","6,9"
"0,2901626188","205,2829437","0,7","7,0"
"0,2985626245","208,8717804","0,8","7,1"
"0,3067625997","215,3459473","0,8","7,4"
"0,3151626345","220,9240265","0,8","7,5"
"0,3236626119","223,6844177","0,8","7,6"
"0,3317626154","227,5887299","0,9","7,8"
"0,3401626212","234,9529419","0,9","8,0"
"0,3483626254","238,7516022","0,9","8,2"
"0,3569626327","244,3740997","0,9","8,3"
"0,3652626377","248,2669525","0,9","8,5"
"0,3734626128","252,5343475","1,0","8,6"
"0,3817626178","258,0149841","1,0","8,8"
"0,3900626228","262,0477295","1,0","8,9"
"0,39866263","267,5297241","1,0","9,1"
"0,4068626343","272,1585693","1,0","9,3"
"0,4152626109","275,8468933","1,1","9,4"
"0,4233626144","281,8429871","1,1","9,6"
"0,4319626217","285,6884155","1,1","9,8"
"0,4403625983","288,4235535","1,1","9,9"
"0,4485626317","294,5894165","1,2","10,1"
"0,4568626367","299,9094238","1,2","10,2"
"0,4650626118","305,0805664","1,2","10,4"
"0,4736626191","311,4593201","1,2","10,6"
"0,481962624","313,9052124","1,2","10,7"
"0,4901626283","320,8028259","1,3","11,0"
"0,4984626333","324,034729","1,3","11,1"
"0,5067626383","328,9938354","1,3","11,2"
"0,5153626455","334,1494141","1,3","11,4"
"0,523462649","337,0727234","1,3","11,5"
"0,5318626548","341,8556519","1,4","11,7"
"0,540062659","346,5041199","1,4","11,8"
"0,5485626073","350,4379272","1,4","12,0"
"0,5569626713","355,6622009","1,4","12,1"
"0,5651626173","360,1525574","1,5","12,3"
"0,573562623","364,1210938","1,5","12,4"
"0,5816626265","368,8055115","1,5","12,6"
"0,5903626346","373,4016724","1,5","12,8"
"0,5985626388","376,8462219","1,5","12,9"
"0,6068626438","381,6225891","1,6","13,0"
"0,6151626488","387,0695801","1,6","13,2"
"0,623362653","392,21698","1,6","13,4"
"0,632062661","395,1333618","1,6","13,5"
"0,6401626063","399,728241","1,6","13,7"
"0,6485626703","404,5572205","1,7","13,8"
"0,6567626163","407,9647522","1,7","13,9"
"0,665162622","411,5163879","1,7","14,1"
"0,6735626278","416,8368225","1,7","14,2"
"0,6818626328","419,284668","1,8","14,3"
"0,6901626378","423,8067932","1,8","14,5"
"0,698362642","427,8214111","1,8","14,6"
"0,7068625903","432,7174377","1,8","14,8"
"0,7152626543","436,6125488","1,8","14,9"
"0,7234626003","441,2571716","1,9","15,1"
"0,7318626643","445,1526794","1,9","15,2"
"0,7399626095","448,4180603","1,9","15,3"
"0,7485626168","453,6130371","1,9","15,5"
"0,7568626218","458,5617981","1,9","15,7"
"0,7651626268","462,517334","2,0","15,8"
"0,7734626318","464,9267273","2,0","15,9"
"0,7818626375","469,7267456","2,0","16,0"
"0,7903626441","472,8141174","2,0","16,1"
"0,7984625893","476,1190796","2,1","16,3"
"0,8068626533","480,3632202","2,1","16,4"
"0,8149625985","484,203064","2,1","16,5"
"0,8236626066","488,3388062","2,1","16,7"
"0,8319626116","493,2784729","2,1","16,8"
"0,840062615","496,7556152","2,2","17,0"
"0,8484626208","498,3834229","2,2","17,0"
"0,856662625","503,8705444","2,2","17,2"
"0,8653626331","507,3693237","2,2","17,3"
"0,8734625783","511,6457825","2,2","17,5"
"0,8817625833","515,9089966","2,3","17,6"
"0,8900625883","519,4890137","2,3","17,7"
"0,8983625933","522,5561523","2,3","17,8"
"0,906862658","527,7520752","2,3","18,0"
"0,9151626048","529,756897","2,4","18,1"
"0,9235626106","534,8030396","2,4","18,3"
"0,931662614","537,8294067","2,4","18,4"
"0,9402626795","540,4954834","2,4","18,5"
"0,9486626271","546,656189","2,4","18,7"
"0,9567626305","549,6505737","2,5","18,8"
"0,9651626363","552,9988403","2,5","18,9"
"0,9733625823","556,2287598","2,5","19,0"
"0,9819625896","560,6968994","2,5","19,1"
"0,990162652","564,1011963","2,5","19,3"
"0,9984625988","567,947998","2,6","19,4"
"1,006762546","570,640686","2,6","19,5"
"1,015062609","573,6681519","2,6","19,6"
"1,023662558","577,538208","2,6","19,7"
"1,03186262","581,5146484","2,7","19,9"
"1,040162567","585,8607788","2,7","20,0"
"1,04836263","589,2005005","2,7","20,1"
"1,056862578","591,4636841","2,7","20,2"
"1,065162525","595,3039551","2,7","20,3"
"1,073462588","601,1062622","2,8","20,5"
"1,081762535","603,1505737","2,8","20,6"
"1,089862596","605,6035156","2,8","20,7"
"1,098562663","609,0686035","2,8","20,8"
"1,106862609","612,6585693","2,8","20,9"
"1,115162673","615,6015015","2,9","21,0"
"1,123462619","619,5024414","2,9","21,2"
"1,131762683","622,4403687","2,9","21,3"
"1,140362632","627,1283569","2,9","21,4"
"1,148462577","629,9577026","3,0","21,5"
"1,156862641","633,4552612","3,0","21,6"
"1,164962586","637,3048706","3,0","21,8"
"1,173562652","639,7609253","3,0","21,8"
"1,182062716","644,309082","3,0","22,0"
"1,190162545","646,9036865","3,1","22,1"
"1,198462608","650,7861328","3,1","22,2"
"1,206662554","653,5689087","3,1","22,3"
"1,21526262","659,3522949","3,1","22,5"
"1,223562683","660,9119263","3,1","22,6"
"1,231762513","664,1004028","3,2","22,7"
"1,240062576","667,8314209","3,2","22,8"
"1,248362523","671,6256714","3,2","22,9"
"1,256962588","674,24646","3,2","23,0"
"1,26506265","677,2496338","3,3","23,1"
"1,273462597","679,8080444","3,3","23,2"
"1,28166266","682,345459","3,3","23,3"
"1,290062607","686,5308838","3,3","23,4"
"1,298662556","691,8243408","3,3","23,6"
"1,306762618","693,0145874","3,4","23,7"
"1,315162566","697,1376953","3,4","23,8"
"1,323362628","700,2738037","3,4","23,9"
"1,331962577","702,3410034","3,4","24,0"
"1,340262524","707,1721191","3,4","24,2"
"1,348462586","710,0407104","3,5","24,3"
"1,356762533","712,7324219","3,5","24,3"
"1,365062596","716,0403442","3,5","24,5"
"1,373662662","719,8027954","3,5","24,6"
"1,381762607","722,2562256","3,6","24,7"
"1,390162671","726,1636963","3,6","24,8"
"1,398362617","727,0412598","3,6","24,8"
"1,406862682","733,1810913","3,6","25,0"
"1,415262629","733,2254639","3,6","25,0"
"1,423462692","738,651001","3,7","25,2"
"1,431762639","741,6474609","3,7","25,3"
"1,439962701","746,5339966","3,7","25,5"
"1,44856265","745,9556885","3,7","25,5"
"1,456862597","750,5769653","3,7","25,6"
"1,46516266","755,2944336","3,8","25,8"
"1,473462607","756,9282837","3,8","25,9"
"1,481662669","760,3314209","3,8","26,0"
"1,490262618","764,4180298","3,8","26,1"
"1,498462564","764,918457","3,9","26,1"
"1,506862628","767,6220093","3,9","26,2"
"1,515062574","772,1485596","3,9","26,4"
"1,523462522","774,9033813","3,9","26,5"
"1,531962703","778,4678955","3,9","26,6"
"1,540162649","781,1241455","4,0","26,7"
"1,548562713","784,3662109","4,0","26,8"
"1,556662542","785,4584351","4,0","26,8"
"1,565262607","791,0286255","4,0","27,0"
"1,573562671","796,8139648","4,0","27,2"
"1,581762617","793,8875732","4,1","27,1"
"1,59006268","800,3972778","4,1","27,3"
"1,598362627","803,1428833","4,1","27,4"
"1,606962576","806,3359985","4,1","27,5"
"1,615162638","810,2496338","4,2","27,7"
"1,623462585","812,4365845","4,2","27,7"
"1,631662647","815,5533447","4,2","27,9"
"1,640062595","817,3034668","4,2","27,9"
"1,64866266","821,6281128","4,2","28,1"
"1,656762606","821,6904297","4,3","28,1"
"1,665162553","826,2236328","4,3","28,2"
"1,673362616","827,5651245","4,3","28,3"
"1,681962681","831,9957886","4,3","28,4"
"1,690162627","834,6026611","4,3","28,5"
"1,69846269","838,3844604","4,4","28,6"
"1,706762637","841,0804443","4,4","28,7"
"1,7150627","844,0641479","4,4","28,8"
"1,723662649","845,7335815","4,4","28,9"
"1,731762595","849,1824341","4,5","29,0"
"1,740162659","853,3439941","4,5","29,1"
"1,748362605","853,8366089","4,5","29,2"
"1,756762669","858,6141357","4,5","29,3"
"1,765262617","862,4343872","4,5","29,5"
"1,773362679","861,5256348","4,6","29,4"
"1,781762626","866,3812866","4,6","29,6"
"1,789962572","869,6293335","4,6","29,7"
"1,798562638","871,038208","4,6","29,7"
"1,806862584","875,4467163","4,6","29,9"
"1,815162531","878,5874634","4,7","30,0"
"1,823462594","880,0460815","4,7","30,1"
"1,83166254","882,4677124","4,7","30,1"
"1,840262606","886,3356934","4,7","30,3"
"1,848462668","886,4077148","4,8","30,3"
"1,856762615","890,3848877","4,8","30,4"
"1,865062678","892,4633179","4,8","30,5"
"1,873462626","894,8804932","4,8","30,6"
"1,881962574","899,0453491","4,8","30,7"
"1,890062636","900,3789063","4,9","30,8"
"1,898462583","903,0540161","4,9","30,8"
"1,906662646","906,1967773","4,9","30,9"
"1,915262595","910,1715088","4,9","31,1"
"1,923562658","913,2680664","4,9","31,2"
"1,931762604","912,413208","5,0","31,2"
"1,940062667","917,4348755","5,0","31,3"
"1,948362614","918,0969849","5,0","31,4"
"1,956962563","922,994812","5,0","31,5"
"1,965162626","925,911499","5,1","31,6"
"1,973462572","927,9534912","5,1","31,7"
"1,981662635","930,2869873","5,1","31,8"
"1,990162583","932,079895","5,1","31,8"
"1,998562647","933,6462402","5,1","31,9"
"2,00676271","937,2874146","5,2","32,0"
"2,015062656","939,0675659","5,2","32,1"
"2,023362603","941,3922729","5,2","32,2"
"2,031862551","946,4813843","5,2","32,3"
"2,040162731","945,3343506","5,2","32,3"
"2,048462445","950,2772217","5,3","32,5"
"2,056762625","952,7843628","5,3","32,5"
"2,065062571","953,9286499","5,3","32,6"
"2,073662637","960,2174072","5,3","32,8"
"2,081762815","960,8677368","5,4","32,8"
"2,090162646","963,5646973","5,4","32,9"
"2,098362709","966,1383057","5,4","33,0"
"2,106862657","967,9919434","5,4","33,1"
"2,115262721","970,0501099","5,4","33,1"
"2,123362666","972,3677979","5,5","33,2"
"2,13176273","972,777771","5,5","33,2"
"2,13996256","978,3427124","5,5","33,4"
"2,148562625","980,6043091","5,5","33,5"
"2,156862572","981,4300537","5,5","33,5"
"2,165162751","985,9608765","5,6","33,7"
"2,173362581","987,3234253","5,6","33,7"
"2,181662761","988,1268311","5,6","33,7"
"2,190362711","994,423584","5,6","34,0"
"2,198462656","993,6376953","5,7","33,9"
"2,206762603","996,0700073","5,7","34,0"
"2,214962665","999,6018677","5,7","34,1"
"2,223462846","999,3068237","5,7","34,1"
"2,231962562","1004,345703","5,7","34,3"
"2,240162624","1006,67981","5,8","34,4"
"2,248462571","1009,688416","5,8","34,5"
"2,256662633","1009,803284","5,8","34,5"
"2,265262466","1011,773193","5,8","34,6"
"2,273462761","1015,868164","5,8","34,7"
"2,281762475","1018,123779","5,9","34,8"
"2,290062655","1018,739746","5,9","34,8"
"2,298462486","1021,857056","5,9","34,9"
"2,306962667","1025,176758","5,9","35,0"
"2,315162497","1022,924744","6,0","34,9"
"2,323462676","1028,795654","6,0","35,1"
"2,331662506","1031,408325","6,0","35,2"
"2,340162687","1032,963379","6,0","35,3"
"2,348562518","1034,381104","6,0","35,3"
"2,356762581","1037,238037","6,1","35,4"
"2,365162412","1038,515869","6,1","35,5"
"2,37326259","1041,168701","6,1","35,6"
"2,381862655","1045,867798","6,1","35,7"
"2,390162602","1046,508301","6,1","35,7"
"2,398462782","1044,4375","6,2","35,7"
"2,406762496","1051,043335","6,2","35,9"
"2,415062675","1054,220337","6,2","36,0"
"2,423662508","1055,927612","6,2","36,1"
"2,431762686","1056,31665","6,3","36,1"
"2,440162517","1060,461182","6,3","36,2"
"2,44836258","1060,464722","6,3","36,2"
"2,456862528","1063,942749","6,3","36,3"
"2,465262592","1067,746826","6,3","36,5"
"2,473362537","1066,426758","6,4","36,4"
"2,481762601","1068,346924","6,4","36,5"
"2,489962664","1071,194458","6,4","36,6"
"2,498562729","1073,136475","6,4","36,7"
"2,506862443","1073,582397","6,4","36,7"
"2,515062738","1075,856812","6,5","36,7"
"2,523362452","1077,351685","6,5","36,8"
"2,531762516","1079,640747","6,5","36,9"
"2,540262697","1083,519775","6,5","37,0"
"2,548462527","1083,970459","6,6","37,0"
"2,556762707","1086,816162","6,6","37,1"
"2,564962536","1086,779175","6,6","37,1"
"2,573462717","1090,115601","6,6","37,2"
"2,581862548","1094,333252","6,6","37,4"
"2,590062611","1096,20752","6,7","37,4"
"2,598462675","1096,378784","6,7","37,4"
"2,606662737","1097,597412","6,7","37,5"
"2,61526257","1100,041504","6,7","37,6"
"2,62356275","1099,501587","6,7","37,6"
"2,631762579","1105,30127","6,8","37,7"
"2,640062759","1104,516113","6,8","37,7"
"2,64846259","1108,609253","6,8","37,9"
"2,656962538","1109,196899","6,8","37,9"
"2,665162833","1110,725464","6,9","37,9"
"2,673562665","1110,07959","6,9","37,9"
"2,681562493","1112,657104","6,9","38,0"
"2,690262675","1118,205444","6,9","38,2"
"2,698562622","1118,404541","6,9","38,2"
"2,706762685","1120,604004","7,0","38,3"
"2,715162749","1121,128418","7,0","38,3"
"2,723262694","1123,011475","7,0","38,4"
"2,731962644","1123,63147","7,0","38,4"
"2,740162473","1126,887695","7,0","38,5"
"2,748462653","1129,112793","7,1","38,6"
"2,756662482","1131,272461","7,1","38,6"
"2,765062779","1132,634521","7,1","38,7"
"2,773562495","1133,233276","7,1","38,7"
"2,781762557","1133,702759","7,2","38,7"
"2,790162621","1138,790283","7,2","38,9"
"2,798362684","1137,638306","7,2","38,9"
"2,806762515","1137,967407","7,2","38,9"
"2,81536258","1139,96582","7,2","38,9"
"2,823462525","1141,853271","7,3","39,0"
"2,831862589","1143,956909","7,3","39,1"
"2,839962535","1147,251709","7,3","39,2"
"2,848662484","1146,054932","7,3","39,1"
"2,85686278","1148,089966","7,3","39,2"
"2,865062609","1148,927124","7,4","39,2"
"2,873362789","1149,787354","7,4","39,3"
"2,881662503","1149,321289","7,4","39,3"
"2,890262568","1152,162354","7,4","39,3"
"2,898462631","1155,884644","7,5","39,5"
"2,906762578","1156,501953","7,5","39,5"
"2,91496264","1157,063354","7,5","39,5"
"2,923462588","1158,982056","7,5","39,6"
"2,93186242","1160,646973","7,5","39,6"
"2,940062715","1161,356079","7,6","39,7"
"2,948462546","1163,706055","7,6","39,7"
"2,956562724","1164,501099","7,6","39,8"
"2,965262674","1166,276001","7,6","39,8"
"2,973562621","1167,19165","7,6","39,9"
"2,98176245","1168,652466","7,7","39,9"
"2,99006263","1169,582764","7,7","39,9"
"2,998462694","1171,969116","7,7","40,0"
"3,006962642","1172,022461","7,7","40,0"
"3,01506282","1170,82373","7,8","40,0"
"3,023462651","1175,627686","7,8","40,2"
"3,031662714","1176,777954","7,8","40,2"
"3,040162662","1175,367676","7,8","40,1"
"3,048562726","1177,853027","7,8","40,2"
"3,056662671","1178,296509","7,9","40,2"
"3,065062735","1180,078979","7,9","40,3"
"3,073262565","1180,667725","7,9","40,3"
"3,081962748","1182,424438","7,9","40,4"
"3,090162577","1183,944214","7,9","40,4"
"3,09836264","1183,418823","8,0","40,4"
"3,106662586","1186,034302","8,0","40,5"
"3,114962766","1186,092041","8,0","40,5"
"3,123662716","1189,003418","8,0","40,6"
"3,131862545","1190,400391","8,1","40,7"
"3,140162725","1189,740967","8,1","40,6"
"3,14826267","1190,223755","8,1","40,6"
"3,156762619","1191,056763","8,1","40,7"
"3,165262567","1193,755859","8,1","40,8"
"3,173362745","1194,285278","8,2","40,8"
"3,181762576","1194,480835","8,2","40,8"
"3,189962639","1193,539185","8,2","40,8"
"3,198662588","1195,673584","8,2","40,8"
"3,206862651","1195,879883","8,2","40,8"
"3,21506248","1197,489624","8,3","40,9"
"3,22336266","1200,662598","8,3","41,0"
"3,231762491","1199,021606","8,3","41,0"
"3,240262672","1199,91687","8,3","41,0"
"3,248462502","1201,307983","8,4","41,0"
"3,256762682","1203,321899","8,4","41,1"
"3,264962511","1201,276123","8,4","41,0"
"3,273462692","1202,127686","8,4","41,1"
"3,281962641","1202,902466","8,4","41,1"
"3,290062586","1202,684082","8,5","41,1"
"3,29846265","1204,828613","8,5","41,1"
"3,306562595","1206,987305","8,5","41,2"
"3,315162661","1207,631592","8,5","41,2"
"3,323562492","1206,923706","8,5","41,2"
"3,331762787","1207,740601","8,6","41,2"
"3,340062501","1208,384644","8,6","41,3"
"3,348362681","1208,898804","8,6","41,3"
"3,35706263","1210,897461","8,6","41,4"
"3,365162576","1210,11731","8,7","41,3"
"3,373462522","1209,864258","8,7","41,3"
"3,381662585","1215,255615","8,7","41,5"
"3,390062649","1213,183228","8,7","41,4"
"3,398562597","1211,776245","8,7","41,4"
"3,406762427","1214,059448","8,8","41,5"
"3,415162724","1215,843018","8,8","41,5"
"3,423262436","1213,3573","8,8","41,4"
"3,431862501","1214,609863","8,8","41,5"
"3,440162681","1215,464233","8,8","41,5"
"3,448362511","1216,88269","8,9","41,6"
"3,456762807","1217,755371","8,9","41,6"
"3,464962637","1217,122925","8,9","41,6"
"3,473662587","1215,934448","8,9","41,5"
"3,481762532","1216,697998","9,0","41,6"
"3,490062712","1218,120361","9,0","41,6"
"3,498362659","1218,752808","9,0","41,6"
"3,506662605","1219,7771","9,0","41,7"
"3,515262438","1219,157104","9,0","41,6"
"3,523362616","1218,944092","9,1","41,6"
"3,531762447","1218,380859","9,1","41,6"
"3,539962743","1218,956665","9,1","41,6"
"3,548562575","1220,53064","9,1","41,7"
"3,556862522","1219,212769","9,1","41,6"
"3,565062584","1221,096558","9,2","41,7"
"3,573362531","1221,864258","9,2","41,7"
"3,581662478","1220,967529","9,2","41,7"
"3,590262543","1222,548218","9,2","41,8"
"3,598462839","1221,630737","9,3","41,7"
"3,606662668","1222,373901","9,3","41,7"
"3,614962848","1223,694824","9,3","41,8"
"3,623362679","1222,067749","9,3","41,7"
"3,631862627","1222,495117","9,3","41,8"
"3,64006269","1223,753174","9,4","41,8"
"3,648462754","1222,582397","9,4","41,8"
"3,656562699","1222,907104","9,4","41,8"
"3,665162765","1222,724243","9,4","41,8"
"3,673562596","1223,103882","9,4","41,8"
"3,681662774","1222,728149","9,5","41,8"
"3,690062605","1223,17334","9,5","41,8"
"3,698262667","1223,648193","9,5","41,8"
"3,70696285","1223,307129","9,5","41,8"
"3,715062562","1225,117798","9,6","41,8"
"3,723462626","1224,182495","9,6","41,8"
"3,731662689","1224,608154","9,6","41,8"
"3,74006252","1224,082642","9,6","41,8"
"3,748562701","1224,143677","9,6","41,8"
"3,756762764","1223,696411","9,7","41,8"
"3,765162595","1224,664185","9,7","41,8"
"3,77326254","1224,52417","9,7","41,8"
"3,781862605","1223,689941","9,7","41,8"
"3,790162785","1224,436035","9,7","41,8"
"3,798362615","1222,940186","9,8","41,8"
"3,806662794","1223,758301","9,8","41,8"
"3,814862624","1225,350708","9,8","41,8"
"3,823562574","1224,489014","9,8","41,8"
"3,831762636","1223,320313","9,9","41,8"
"3,840062583","1224,156128","9,9","41,8"
"3,848262645","1222,616699","9,9","41,8"
"3,856562592","1223,270264","9,9","41,8"
"3,865162425","1224,281982","9,9","41,8"
"3,87336272","1220,810303","10,0","41,7"
"3,881762551","1221,138306","10,0","41,7"
"3,889862729","1222,2771","10,0","41,7"
"3,898462795","1221,89563","10,0","41,7"
"3,906862626","1219,66333","10,0","41,7"
"3,915062688","1220,292969","10,1","41,7"
"3,923462519","1223,202637","10,1","41,8"
"3,931562698","1221,600464","10,1","41,7"
"3,940262647","1221,641479","10,1","41,7"
"3,948462477","1220,008423","10,2","41,7"
"3,956762889","1221,621948","10,2","41,7"
"3,964962719","1220,460205","10,2","41,7"
"3,9734629","1219,12854","10,2","41,6"
"3,981862498","1219,93103","10,2","41,7"
"3,990062794","1220,206787","10,3","41,7"
"3,998362741","1220,058228","10,3","41,7"
"4,00656257","1218,810303","10,3","41,6"
"4,01526252","1221,761597","10,3","41,7"
"4,023462815","1218,987915","10,3","41,6"
"4,031762296","1218,445801","10,4","41,6"
"4,040062709","1217,015869","10,4","41,6"
"4,048262538","1217,489136","10,4","41,6"
"4,056962488","1216,647949","10,4","41,6"
"4,065162784","1216,257568","10,5","41,5"
"4,073462265","1216,394531","10,5","41,5"
"4,08166256","1215,635864","10,5","41,5"
"4,090062624","1216,108154","10,5","41,5"
"4,098562805","1214,679077","10,5","41,5"
"4,106762635","1214,734253","10,6","41,5"
"4,115062581","1215,817993","10,6","41,5"
"4,123362528","1213,662231","10,6","41,5"
"4,131862709","1212,615112","10,6","41,4"
"4,14016219","1213,547729","10,6","41,4"
"4,148462603","1210,99646","10,7","41,4"
"4,15676255","1212,39624","10,7","41,4"
"4,164962845","1213,172974","10,7","41,4"
"4,173562212","1211,861206","10,7","41,4"
"4,181762507","1212,919678","10,8","41,4"
"4,190162571","1211,811401","10,8","41,4"
"4,198262749","1211,139526","10,8","41,4"
"4,20676293","1210,050903","10,8","41,3"
"4,215262646","1210,967041","10,8","41,4"
"4,223462476","1211,422729","10,9","41,4"
"4,231762888","1207,786499","10,9","41,2"
"4,239962718","1208,828003","10,9","41,3"
"4,248662202","1208,68689","10,9","41,3"
"4,256862497","1207,855469","10,9","41,3"
"4,265162444","1205,32251","11,0","41,2"
"4,273362739","1207,785889","11,0","41,2"
"4,281662686","1206,251831","11,0","41,2"
"4,290362636","1205,174561","11,0","41,2"
"4,298462814","1205,719482","11,1","41,2"
"4,306862878","1204,203369","11,1","41,1"
"4,31496259","1203,187744","11,1","41,1"
"4,323562423","1202,470947","11,1","41,1"
"4,331962487","1202,665283","11,1","41,1"
"4,340062665","1201,561401","11,2","41,0"
"4,348462729","1201,267822","11,2","41,0"
"4,356562441","1201,466675","11,2","41,0"
"4,365262391","1197,935547","11,2","40,9"
"4,373562804","1198,995972","11,2","40,9"
"4,381762633","1198,330322","11,3","40,9"
"4,39006258","1199,130981","11,3","41,0"
"4,398362527","1197,190552","11,3","40,9"
"4,406962825","1197,256592","11,3","40,9"
"4,415063003","1196,922241","11,3","40,9"
"4,423462601","1197,216553","11,4","40,9"
"4,431662431","1194,132568","11,4","40,8"
"4,440062495","1195,538208","11,4","40,8"
"4,448562676","1194,457153","11,4","40,8"
"4,456762506","1193,666016","11,5","40,8"
"4,46516257","1193,488403","11,5","40,8"
"4,473262748","1192,756226","11,5","40,7"
"4,479462562","-142,5148468","11,5","-4,9"
