mm,N,Déformation,Contrainte
"0,01228304073","5,900295734","0,02856521101","0,2126232697"
"0,01538304092","9,684274673","0,03577451376","0,3489828711"
"0,01908304044","14,70169067","0,04437916382","0,5297906549"
"0,02208304055","19,37943077","0,05135590825","0,6983578656"
"0,02568304068","23,16351509","0,05972800157","0,8347212645"
"0,02878304063","26,19097519","0,0669373038","0,9438189257"
"0,03238304076","29,41380882","0,07530939712","1,059957075"
"0,03548304072","34,50369644","0,08251869935","1,243376448"
"0,03898304009","37,40715408","0,09065823276","1,348005553"
"0,04218304081","41,98251343","0,0981000949","1,512883367"
"0,04568303835","46,32387543","0,1062396241","1,669328844"
"0,04888304089","49,10315323","0,1136814904","1,769482999"
"0,05238304208","53,03607941","0,1218210281","1,911210069"
"0,05568304174","57,54090881","0,1294954459","2,073546264"
"0,0589830414","59,2367363","0,1371698637","2,134657164"
"0,06228304106","63,15469742","0,1448442815","2,275844952"
"0,06568303785","67,60822296","0,1527512508","2,436332359"
"0,06898304115","71,24845123","0,1604256771","2,567511756"
"0,07248304233","74,01409912","0,1685652147","2,667174743"
"0,07568303759","78,27827454","0,1760070642","2,820838722"
"0,07918304242","83,5168457","0,1841466103","3,009616061"
"0,08238304496","85,36328888","0,1915884766","3,076154554"
"0,08578304174","88,5049057","0,1994954459","3,189365971"
"0,08908303777","92,57019806","0,2071698553","3,335862993"
"0,09248304183","97,37783051","0,2150768415","3,509111009"
"0,09578303785","101,0924835","0,2227512508","3,642972379"
"0,09908304115","102,0797119","0,2304256771","3,678548177"
"0,1024830379","106,2589722","0,2383326464","3,82915215"
"0,1056830405","109,6428223","0,2457745127","3,951092694"
"0,1090830373","114,5272827","0,253681482","4,127109287"
"0,1123830406","117,2438583","0,2613559083","4,225003904"
"0,1157830446","120,7061691","0,2692628945","4,34977186"
"0,1188830391","124,1830444","0,276472184","4,475064664"
"0,1223830439","127,2855988","0,2846117301","4,586868424"
"0,1255830465","130,7249756","0,2920535965","4,710809931"
"0,129083044","135,554245","0,3001931257","4,884837657"
