mm,N,Déformation,Contrainte
"0,01440388777","7,720573425","0,0","0,3"
"0,01770388765","10,42683125","0,0","0,4"
"0,02100388777","15,65323734","0,0","0,5"
"0,02440388729","18,15767288","0,1","0,6"
"0,02770388695","24,14342499","0,1","0,8"
"0,03100388843","25,29995155","0,1","0,9"
"0,03440388703","30,41255569","0,1","1,0"
"0,03770388669","34,53288651","0,1","1,2"
"0,04110388712","38,40259933","0,1","1,3"
"0,04430388602","41,09646988","0,1","1,4"
"0,04770389008","45,9824791","0,1","1,6"
"0,05100388974","48,20024872","0,1","1,6"
"0,0543038894","52,05340576","0,1","1,8"
"0,05770388619","54,96521378","0,1","1,9"
"0,06090388873","59,04137039","0,1","2,0"
"0,06440388991","61,34265137","0,2","2,1"
"0,06750388805","65,05511475","0,2","2,2"
"0,07110388636","69,89385986","0,2","2,4"
"0,07410388738","70,80049133","0,2","2,4"
"0,07780388645","74,55661774","0,2","2,5"
"0,08080388746","77,79451752","0,2","2,6"
"0,08440388577","82,0457077","0,2","2,8"
"0,08750388755","85,22628784","0,2","2,9"
"0,09110388586","89,12278748","0,2","3,0"
"0,09420388763","92,88121796","0,2","3,2"
"0,09760388442","94,63632202","0,2","3,2"
"0,1009038877","98,37371826","0,2","3,3"
"0,1043038845","102,1715698","0,2","3,5"
"0,1076038878","104,1576309","0,3","3,5"
"0,1110038846","108,5302277","0,3","3,7"
"0,1143038879","111,6225739","0,3","3,8"
"0,1177038919","114,0397339","0,3","3,9"
"0,121003888","118,0959244","0,3","4,0"
"0,124403892","121,7028198","0,3","4,1"
"0,1277038881","124,1810379","0,3","4,2"
"0,1311038848","127,4511414","0,3","4,3"
"0,1344038954","131,0209351","0,3","4,4"
"0,1378038922","133,5095215","0,3","4,5"
"0,1411038882","135,643219","0,3","4,6"
"0,1444038988","140,4670563","0,3","4,8"
"0,1477038948","142,831131","0,3","4,8"
"0,1511038916","144,9043427","0,4","4,9"
"0,1544038876","149,8277283","0,4","5,1"
"0,1577038837","153,0566254","0,4","5,2"
"0,161103895","156,0250092","0,4","5,3"
"0,1643038903","160,0031128","0,4","5,4"
"0,167703887","162,7312164","0,4","5,5"
"0,1709038823","163,9524078","0,4","5,6"
