mm,N,Def 3,Cont
"0,04572447011","21,54531288","0,1","0,7"
"0,05442446996","30,60892868","0,1","1,0"
"0,06252446979","37,07819366","0,2","1,2"
"0,07082446751","43,88820267","0,2","1,5"
"0,0791244725","51,56655121","0,2","1,7"
"0,08752446734","59,20253754","0,2","2,0"
"0,09612446734","63,98297501","0,3","2,1"
"0,1043244716","72,08677673","0,3","2,4"
"0,1126244693","79,26724243","0,3","2,7"
"0,1208244662","84,38444519","0,3","2,8"
"0,1294244735","91,35855865","0,3","3,1"
"0,1376244705","98,02011871","0,4","3,3"
"0,1459244682","104,1685257","0,4","3,5"
"0,1542244659","110,3498383","0,4","3,7"
"0,1626244789","117,4025803","0,4","3,9"
"0,1711244709","122,4634705","0,4","4,1"
"0,1792244744","128,3733673","0,5","4,3"
"0,1877244663","136,655777","0,5","4,6"
"0,1958244698","141,6055603","0,5","4,8"
"0,2043244618","148,6759033","0,5","5,0"
"0,2127244821","155,3616028","0,6","5,2"
"0,2209244718","162,4266815","0,6","5,5"
"0,2293244775","166,8285522","0,6","5,6"
"0,2375244672","172,7260284","0,6","5,8"
"0,2461244745","178,0940704","0,6","6,0"
"0,2544244649","182,9287415","0,7","6,1"
"0,2626244691","187,3516846","0,7","6,3"
"0,2709244741","193,7845001","0,7","6,5"
"0,2792244646","199,213089","0,7","6,7"
"0,2878244864","204,8191833","0,8","6,9"
"0,2960244615","209,6185913","0,8","7,0"
"0,3043244665","216,19133","0,8","7,3"
"0,3125244708","218,0370331","0,8","7,3"
"0,3210244773","223,4000854","0,8","7,5"
"0,3295244547","230,1121521","0,9","7,7"
"0,3376244581","234,0161591","0,9","7,9"
"0,346024493","238,2680054","0,9","8,0"
"0,3542244681","243,9293213","0,9","8,2"
"0,3628244754","249,8573761","0,9","8,4"
"0,3710244505","255,7732544","1,0","8,6"
"0,3793244555","259,5223389","1,0","8,7"
"0,3876244605","264,3301086","1,0","8,9"
"0,3959244655","269,2279358","1,0","9,0"
"0,4044244429","274,5187988","1,1","9,2"
"0,4126244763","280,4443359","1,1","9,4"
"0,421024482","286,7285767","1,1","9,6"
"0,4292244571","290,0466919","1,1","9,7"
"0,437624492","294,4968567","1,1","9,9"
"0,4461244694","298,2568054","1,2","10,0"
"0,4542244729","304,9562988","1,2","10,2"
"0,4626244495","308,6834106","1,2","10,4"
"0,4708244829","312,7863159","1,2","10,5"
"0,479424461","319,7638855","1,3","10,7"
"0,4877244951","324,7915039","1,3","10,9"
"0,4959244703","329,5675354","1,3","11,1"
"0,504324476","333,4424133","1,3","11,2"
"0,5125244803","338,1169434","1,3","11,4"
"0,5211244875","343,4633179","1,4","11,5"
"0,5294244343","347,2895813","1,4","11,7"
"0,5377244975","352,9920044","1,4","11,9"
"0,5459245017","357,9596863","1,4","12,0"
"0,5542245067","361,6466675","1,5","12,2"
"0,562824514","366,9639587","1,5","12,3"
"0,5709244593","371,7468872","1,5","12,5"
"0,579424524","377,2450867","1,5","12,7"
"0,5874244685","381,466095","1,5","12,8"
"0,5961244765","384,6965637","1,6","12,9"
"0,6044244815","390,590271","1,6","13,1"
"0,6126244858","395,2363586","1,6","13,3"
"0,6209244908","400,6556396","1,6","13,5"
"0,6291244368","404,9781494","1,6","13,6"
"0,637824503","410,8539734","1,7","13,8"
"0,6459244483","412,8890076","1,7","13,9"
"0,6542244533","420,061554","1,7","14,1"
"0,6625244583","423,6095276","1,7","14,2"
"0,6708244633","428,647583","1,8","14,4"
"0,6795244713","431,6266479","1,8","14,5"
"0,687524474","436,1770325","1,8","14,7"
"0,6959244798","440,3934631","1,8","14,8"
"0,7041244258","445,7227173","1,8","15,0"
"0,7126244905","449,0523376","1,9","15,1"
"0,7210244381","455,2349243","1,9","15,3"
