mm,N,Def 2,Cont
"1,146362538","520,0446167","3,0","17,7"
"1,154662485","520,9771729","3,0","17,7"
"1,162862431","525,5827637","3,0","17,9"
"1,171062377","528,6036377","3,1","18,0"
"1,179762443","531,4994507","3,1","18,1"
"1,187962505","534,8319092","3,1","18,2"
"1,196262452","538,4679565","3,1","18,3"
"1,204462515","540,7845459","3,2","18,4"
"1,212862462","543,6734009","3,2","18,5"
"1,221462411","548,2654419","3,2","18,6"
"1,229562473","549,1798706","3,2","18,7"
"1,23796242","551,5152588","3,2","18,7"
"1,246162483","556,7498169","3,3","18,9"
"1,254662431","557,8717041","3,3","18,9"
"1,263062379","562,1328125","3,3","19,1"
"1,271262441","564,4402466","3,3","19,2"
"1,279562388","568,1919556","3,3","19,3"
"1,287862451","570,8184814","3,4","19,4"
"1,296462517","572,7926636","3,4","19,5"
"1,304562346","576,1600342","3,4","19,6"
"1,312862409","580,2304077","3,4","19,7"
"1,321162356","581,4740601","3,5","19,8"
"1,329562536","585,3427734","3,5","19,9"
"1,338062484","589,2634888","3,5","20,0"
"1,34626243","591,5027466","3,5","20,1"
"1,354662494","593,9434814","3,5","20,2"
"1,362762439","597,5539551","3,6","20,3"
"1,371362389","598,3881836","3,6","20,3"
"1,379662452","601,0545654","3,6","20,4"
"1,387862398","605,2124634","3,6","20,6"
"1,396262462","608,5652466","3,7","20,7"
"1,404462408","611,2485962","3,7","20,8"
"1,413162358","613,4841919","3,7","20,8"
"1,421262419","617,5273438","3,7","21,0"
"1,429662367","618,8822632","3,7","21,0"
"1,437862429","621,4484863","3,8","21,1"
"1,446262377","626,9397583","3,8","21,3"
"1,454762441","628,2263184","3,8","21,3"
"1,462862387","631,1397705","3,8","21,4"
"1,471262451","632,7838745","3,9","21,5"
"1,479462397","635,4108276","3,9","21,6"
"1,487962461","639,293335","3,9","21,7"
"1,496362409","643,5908203","3,9","21,9"
"1,504562471","644,6962891","3,9","21,9"
"1,512862418","647,8745117","4,0","22,0"
"1,521062481","651,0675659","4,0","22,1"
"1,52976243","652,1019897","4,0","22,2"
"1,537862492","655,3095703","4,0","22,3"
"1,546162439","657,5261841","4,0","22,3"
"1,554462386","660,4214478","4,1","22,4"
"1,562762449","664,8825073","4,1","22,6"
"1,571362398","665,9761353","4,1","22,6"
"1,57956246","669,77948","4,1","22,8"
"1,587962408","671,8551636","4,2","22,8"
"1,59606247","673,9594727","4,2","22,9"
"1,604662535","675,081543","4,2","22,9"
"1,613062483","678,7710571","4,2","23,1"
"1,621162428","682,5458984","4,2","23,2"
"1,629562492","684,6394043","4,3","23,3"
"1,637762438","687,0184937","4,3","23,3"
"1,646462388","690,0770264","4,3","23,4"
"1,65466245","692,7716675","4,3","23,5"
"1,662962397","694,9494629","4,4","23,6"
"1,671162459","698,3171387","4,4","23,7"
"1,679562407","699,8832397","4,4","23,8"
"1,688162356","704,5669556","4,4","23,9"
"1,696162417","704,5311279","4,4","23,9"
"1,704562481","707,6484985","4,5","24,0"
"1,712762427","710,9243164","4,5","24,1"
"1,721362376","712,7601318","4,5","24,2"
"1,729662439","716,15271","4,5","24,3"
"1,737862385","718,522522","4,5","24,4"
"1,746162448","721,2387695","4,6","24,5"
"1,754462395","724,5487671","4,6","24,6"
"1,763062461","724,7253418","4,6","24,6"
"1,771262523","727,8424072","4,6","24,7"
"1,77956247","731,0611572","4,7","24,8"
"1,787862533","733,3792114","4,7","24,9"
"1,79616248","735,6409912","4,7","25,0"
"1,804762429","738,4197998","4,7","25,1"
"1,812862491","742,5656128","4,7","25,2"
"1,821262438","745,3890991","4,8","25,3"
"1,829462501","746,2816162","4,8","25,3"
"1,83806245","748,6574097","4,8","25,4"
"1,846362397","749,9802856","4,8","25,5"
"1,854562459","752,0861816","4,9","25,5"
"1,862862406","757,9488525","4,9","25,7"
"1,871162469","758,0172119","4,9","25,7"
"1,879762418","760,9350586","4,9","25,8"
"1,887962364","763,6226196","4,9","25,9"
"1,896262427","766,6205444","5,0","26,0"
"1,904462373","768,211792","5,0","26,1"
"1,912862437","770,3771973","5,0","26,2"
"1,921462503","773,53479","5,0","26,3"
"1,929562448","774,8843994","5,1","26,3"
"1,937962512","776,5824585","5,1","26,4"
"1,946062457","779,2160034","5,1","26,5"
"1,95466229","782,0328369","5,1","26,6"
"1,963062354","785,2637939","5,1","26,7"
"1,971262416","786,3132324","5,2","26,7"
"1,979662247","789,5323486","5,2","26,8"
"1,987862543","792,1835938","5,2","26,9"
"1,996462608","793,1988525","5,2","26,9"
"2,004662438","797,2090454","5,2","27,1"
"2,012962617","799,8546753","5,3","27,2"
"2,021162447","802,319458","5,3","27,3"
"2,029562511","803,6817627","5,3","27,3"
"2,038062459","806,1834717","5,3","27,4"
"2,046262522","808,6392212","5,4","27,5"
"2,054562468","811,1623535","5,4","27,6"
"2,062762531","812,5365601","5,4","27,6"
"2,071262479","814,9289551","5,4","27,7"
"2,079762428","816,8709717","5,4","27,7"
"2,087862373","818,166687","5,5","27,8"
"2,096262437","821,3949585","5,5","27,9"
"2,104462266","823,1122437","5,5","28,0"
"2,112962447","825,8416138","5,5","28,1"
"2,121362279","828,3389893","5,6","28,1"
"2,129662458","832,460083","5,6","28,3"
"2,137962638","834,9551392","5,6","28,4"
"2,146162467","836,0033569","5,6","28,4"
"2,154762533","837,831543","5,6","28,5"
"2,162962363","838,6638794","5,7","28,5"
"2,171262542","842,5650635","5,7","28,6"
"2,179562489","843,8852539","5,7","28,7"
"2,187862436","847,1000366","5,7","28,8"
"2,196462268","848,8531494","5,7","28,8"
"2,204562446","852,1099854","5,8","28,9"
"2,212962278","854,3911133","5,8","29,0"
"2,221162573","855,2713013","5,8","29,1"
"2,229662288","859,4676514","5,8","29,2"
"2,238062352","861,3800659","5,9","29,3"
"2,246162298","863,2940674","5,9","29,3"
"2,254562362","864,9775391","5,9","29,4"
"2,262762424","866,0740967","5,9","29,4"
"2,271362489","868,1768188","5,9","29,5"
"2,279662436","871,4624023","6,0","29,6"
"2,287862499","873,1313477","6,0","29,7"
"2,296162445","874,6116943","6,0","29,7"
"2,304462392","876,8546753","6,0","29,8"
"2,313062458","878,9478149","6,1","29,9"
"2,32126252","880,6384888","6,1","29,9"
"2,329562467","881,9085693","6,1","30,0"
"2,337762529","884,5759277","6,1","30,0"
"2,346262478","887,6043091","6,1","30,1"
"2,354662309","890,513855","6,2","30,2"
"2,362862604","892,0800781","6,2","30,3"
"2,371262435","892,4552002","6,2","30,3"
"2,379462498","895,2570801","6,2","30,4"
"2,38806233","898,8179321","6,3","30,5"
"2,39636251","900,5693359","6,3","30,6"
"2,40456234","900,1525269","6,3","30,6"
"2,412762402","904,3076782","6,3","30,7"
