mm,N,Def 5,Cont
"1,209098891","564,4162598","3,0","18,8"
"1,217298837","566,6209717","3,0","18,8"
"1,225998903","569,6750488","3,0","18,9"
"1,234198966","573,1407471","3,0","19,1"
"1,242398795","574,8033447","3,1","19,1"
"1,250698859","579,9130859","3,1","19,3"
"1,258998805","581,5078735","3,1","19,3"
"1,267598871","587,0767822","3,1","19,5"
"1,275798933","588,4963989","3,2","19,6"
"1,28409888","590,9422607","3,2","19,6"
"1,292298943","590,8563232","3,2","19,6"
"1,300798891","595,0718384","3,2","19,8"
"1,309198955","599,9367676","3,2","19,9"
"1,317398901","602,434021","3,3","20,0"
"1,325798848","605,4851685","3,3","20,1"
"1,33389891","607,9876099","3,3","20,2"
"1,34259886","610,7623901","3,3","20,3"
"1,350898807","613,9145508","3,3","20,4"
"1,359098869","618,7622681","3,4","20,6"
"1,367398816","619,3898926","3,4","20,6"
"1,375698879","622,9788208","3,4","20,7"
"1,384298945","625,3765869","3,4","20,8"
"1,392499007","627,8275146","3,4","20,9"
"1,400798954","631,2510986","3,5","21,0"
"1,4089989","634,083252","3,5","21,1"
"1,417398964","636,4050903","3,5","21,2"
"1,425898912","640,0166626","3,5","21,3"
"1,434098975","642,7865601","3,5","21,4"
"1,442498922","645,1775513","3,6","21,4"
"1,450598984","646,7067871","3,6","21,5"
"1,459298934","649,1655273","3,6","21,6"
"1,46749888","652,1019287","3,6","21,7"
"1,475698942","654,3762817","3,6","21,8"
"1,48409889","658,8961792","3,7","21,9"
"1,492298952","660,7390137","3,7","22,0"
"1,500999018","663,1672974","3,7","22,0"
"1,509098847","664,6856079","3,7","22,1"
"1,51739891","668,2633057","3,7","22,2"
"1,525698857","673,9038086","3,8","22,4"
"1,534198922","673,5714722","3,8","22,4"
"1,542598986","675,7927246","3,8","22,5"
"1,550798932","678,8533325","3,8","22,6"
"1,559098995","682,6715698","3,8","22,7"
"1,567298825","686,8233032","3,9","22,8"
"1,575998891","687,4276123","3,9","22,9"
"1,584098953","690,2797852","3,9","22,9"
"1,592398899","692,4910278","3,9","23,0"
"1,600698963","694,3411255","4,0","23,1"
"1,608998909","695,97052","4,0","23,1"
"1,617598858","699,8175659","4,0","23,3"
"1,625798921","702,5891113","4,0","23,4"
"1,634098868","706,4399414","4,0","23,5"
"1,64229893","707,3708496","4,1","23,5"
"1,650698878","709,5822754","4,1","23,6"
"1,659298943","712,9447021","4,1","23,7"
"1,667398888","716,5944214","4,1","23,8"
"1,675798836","719,8060303","4,1","23,9"
"1,683898898","719,7805176","4,2","23,9"
"1,692598964","723,3831177","4,2","24,0"
"1,70079891","726,1761475","4,2","24,1"
"1,709098973","727,6619263","4,2","24,2"
"1,71739892","730,2236938","4,2","24,3"
"1,725698983","733,2849121","4,3","24,4"
"1,734298932","736,6954956","4,3","24,5"
"1,742498878","739,0529785","4,3","24,6"
"1,750798941","738,8477173","4,3","24,6"
"1,758998887","742,4030151","4,3","24,7"
"1,767498952","745,5443115","4,4","24,8"
"1,7759989","747,5675049","4,4","24,9"
"1,784098846","748,519104","4,4","24,9"
"1,792398909","750,583313","4,4","25,0"
"1,800598855","754,2675781","4,4","25,1"
"1,809298805","756,4705811","4,5","25,1"
"1,817498867","760,0930176","4,5","25,3"
"1,82569893","759,8034058","4,5","25,3"
"1,834098877","763,1340332","4,5","25,4"
"1,842198939","766,2175293","4,5","25,5"
"1,850898889","767,9898682","4,6","25,5"
"1,859098951","771,2739868","4,6","25,6"
"1,867398898","771,9608154","4,6","25,7"
"1,875698961","773,9891357","4,6","25,7"
"1,884098909","778,3608398","4,7","25,9"
"1,892598857","780,4437866","4,7","25,9"
"1,900698919","781,7973633","4,7","26,0"
"1,909098866","785,3049927","4,7","26,1"
"1,917298929","788,5149536","4,7","26,2"
"1,925898878","788,6677246","4,8","26,2"
